Code-barres article;Ref;Prix ;Prix solde;Nom de l'article ;Brand;Type de l'article ;Taille;Couleur;March;Genre de l'article ;Groupe de l'article 
8683879080360;101318160;9850 da;;3M KOBE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879245561;101329287;4150 da;;3M KOBE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879245639;101329288;6350 da;;3M KOBE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879245660;101329288;6350 da;;3M KOBE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879246490;101329300;3350 da;;3M LUKE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879246582;101329300;3350 da;;3M LUKE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879246711;101329303;4750 da;;3M LUKE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879246735;101329303;4750 da;;3M LUKE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879246759;101329303;4750 da;;3M LUKE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879246773;101329303;4750 da;;3M LUKE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879246728;101329304;3400 da;;3M LUKE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879246803;101329304;3400 da;;3M LUKE 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879246940;101329307;5250 da;;3M MAMI W 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879246957;101329307;5250 da;;3M MAMI W 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247312;101329308;4950 da;;3M MAMI W 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247343;101329308;4950 da;;3M MAMI W 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247374;101329308;4950 da;;3M MAMI W 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247404;101329308;4950 da;;3M MAMI W 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247466;101329308;4950 da;;3M MAMI W 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247435;101329308;4950 da;;3M MAMI W 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247367;101329310;4450 da;;3M NOVA 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247398;101329310;4450 da;;3M NOVA 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247480;101329310;4450 da;;3M NOVA 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247428;101329310;4450 da;;3M NOVA 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247664;101329313;2850 da;;3M NOVA 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247046;101329314;5250 da;;3M NOVA 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247138;101329314;5250 da;;3M NOVA 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879247077;101329314;5250 da;;3M NOVA 3FX;PROSHOT;FOO;STD;SIYAH;LEISUR;MEN;SHOES
